customer_id,country,warehouse_hub,age_group,gender,style_category,acquisition_channel,cohort_month,loyalty_tier,recency_days,frequency_30d,frequency_90d,monetary_3m_usd,avg_order_value_usd,basket_size_items,browsing_sessions_30d,wishlist_items,discount_dependency_pct,promo_depth_pct,promo_response_rate,returns_rate,mega_sale_participant,avg_delivery_days,delivery_issues_count,last_mile_cost_usd,fulfillment_cost_usd,return_cost_usd,logistics_cost_pct_revenue,gross_margin_pct,campaign_last_sent,responded_to_campaign,incremental_orders_from_campaign,campaign_roi,uplift_segment,churn_label,churn_risk_score,clv_12m_usd
SH01018,Singapore,SG Hub,18-22,Male,Streetwear,Paid Social,2024-02,None,8,1,2,100.79,57.86,6,11,3,0.43,0.23,0.51,0.13,0,2.7,1,4.34,4.26,3.01,0.201,0.248,Free Shipping,1,1,3.87,Persuadable,0,35.4,268.67
SH01019,UAE,Dubai Hub,33-38,Female,K-Fashion,Organic,2024-09,Bronze,32,2,3,237.21,90.47,5,10,5,0.42,0.21,0.52,0.2,0,3.2,0,5.66,7.22,7.24,0.222,0.189,Voucher,0,0,-1.0,Lost Cause,0,36.0,642.45
SH01020,Malaysia,SG Hub,23-27,Male,K-Fashion,Influencer,2024-02,None,45,2,4,101.22,30.09,2,16,9,0.53,0.32,0.42,0.15,0,3.2,0,2.63,2.72,1.81,0.238,0.122,Style Drop,1,1,1.8,Lost Cause,0,39.1,258.4
SH01021,Thailand,VN Hub,23-27,Female,Activewear,Influencer,2024-11,Bronze,73,2,7,92.93,17.13,3,15,3,0.75,0.4,0.36,0.31,0,4.4,0,2.79,1.57,2.12,0.378,-0.012,Influencer Code,0,0,-1.0,Lost Cause,0,45.5,220.43
SH01022,Vietnam,VN Hub,23-27,Female,Casual,Paid Social,2024-05,Bronze,38,2,6,158.08,33.35,5,16,5,0.7,0.25,0.46,0.29,0,3.9,0,2.46,2.28,3.87,0.258,0.175,Free Shipping,0,0,-1.0,Lost Cause,0,31.4,439.19
SH01023,Philippines,SG Hub,28-32,Female,Accessories,Influencer,2024-10,None,44,1,4,93.06,30.98,3,14,9,0.83,0.3,0.36,0.4,0,6.7,1,5.0,2.07,4.96,0.388,0.027,Influencer Code,0,0,-1.0,Do-Not-Disturb,1,59.7,197.0
SH01024,UAE,Dubai Hub,33-38,Female,Casual,Organic,2024-08,Bronze,50,1,5,367.34,84.64,4,12,6,0.44,0.31,0.35,0.25,0,3.5,0,5.02,7.27,8.46,0.245,0.167,Influencer Code,1,0,-1.0,Persuadable,0,35.2,850.0
SH01025,Thailand,VN Hub,23-27,Female,Accessories,Mega-Sale Event,2024-06,None,37,0,2,22.18,14.31,5,16,2,0.75,0.47,0.44,0.27,1,3.2,0,3.23,1.74,1.55,0.456,-0.113,Style Drop,0,0,-1.0,Do-Not-Disturb,1,55.9,32.78
SH01026,Australia,AU Hub,33-38,Male,Streetwear,Influencer,2024-08,None,164,0,2,139.19,83.65,7,13,7,0.56,0.4,0.41,0.28,1,5.3,0,7.22,7.45,9.37,0.287,0.105,Voucher,0,0,-1.0,Lost Cause,1,94.5,194.99
SH01027,Indonesia,SG Hub,18-22,Female,Activewear,Paid Social,2024-03,None,19,1,4,32.07,10.72,3,17,2,0.84,0.46,0.41,0.24,1,5.0,0,3.09,1.76,1.03,0.549,-0.15,Voucher,1,0,-1.0,Lost Cause,0,35.9,69.64
SH01028,Singapore,SG Hub,23-27,Male,K-Fashion,Influencer,2024-01,Bronze,14,1,3,166.14,64.47,4,16,10,0.47,0.19,0.55,0.17,0,2.9,0,4.25,5.22,4.38,0.215,0.274,Voucher,0,0,-1.0,Lost Cause,0,28.1,475.81
SH01029,Australia,AU Hub,23-27,Female,Casual,Mega-Sale Event,2024-10,None,40,0,2,126.06,70.9,4,11,2,0.37,0.18,0.51,0.21,1,6.6,1,7.01,5.52,5.96,0.261,0.209,Free Shipping,1,2,5.0,Lost Cause,1,52.5,294.98
SH01030,Malaysia,SG Hub,18-22,Male,Activewear,Influencer,2024-12,None,27,0,2,40.95,25.72,5,12,7,0.68,0.37,0.48,0.16,0,3.7,0,2.97,2.73,1.65,0.286,0.004,Free Shipping,0,0,-1.0,Lost Cause,0,46.1,88.87
SH01031,Thailand,VN Hub,18-22,Male,Accessories,Organic,2024-11,Bronze,91,2,6,127.33,26.46,5,16,7,0.66,0.31,0.44,0.26,0,5.2,1,3.6,2.47,2.75,0.333,0.137,Voucher,0,0,-1.0,Do-Not-Disturb,1,65.1,259.26
SH01032,Philippines,SG Hub,23-27,Male,Activewear,Paid Social,2024-04,None,34,1,2,31.33,20.53,8,11,2,0.79,0.52,0.48,0.25,1,6.5,1,4.11,1.15,2.05,0.356,-0.147,Free Shipping,1,2,1.51,Do-Not-Disturb,1,62.3,47.85
SH01033,Vietnam,VN Hub,33-38,Female,K-Fashion,Paid Social,2024-05,None,25,1,3,52.51,22.85,4,11,7,0.78,0.54,0.35,0.3,1,4.5,0,2.78,1.31,2.74,0.299,-0.026,Free Shipping,0,0,-1.0,Lost Cause,0,44.6,113.05
SH01034,Vietnam,VN Hub,23-27,Male,Streetwear,Organic,2024-05,None,22,0,1,25.64,32.71,4,9,6,0.72,0.42,0.42,0.23,1,4.1,0,2.91,2.86,3.01,0.268,0.045,Voucher,1,1,1.02,Lost Cause,1,52.2,44.85
SH01035,Indonesia,SG Hub,33-38,Female,K-Fashion,Organic,2024-09,None,57,0,2,32.28,20.43,2,13,4,0.7,0.38,0.46,0.3,0,5.2,3,3.9,1.55,2.45,0.387,-0.012,None,0,0,-1.0,Do-Not-Disturb,1,82.4,41.89
SH01036,Australia,AU Hub,28-32,Female,K-Fashion,Paid Social,2024-08,Silver,14,3,6,465.6,85.84,3,21,2,0.32,0.11,0.51,0.18,0,5.4,0,8.02,6.85,6.18,0.245,0.213,Influencer Code,0,0,-1.0,Sure-Thing,0,6.5,850.0
SH01037,Singapore,SG Hub,23-27,Female,Casual,Mega-Sale Event,2024-10,Silver,34,2,7,390.38,64.25,6,15,11,0.44,0.32,0.55,0.28,0,3.3,0,4.09,5.68,7.2,0.264,0.141,Free Shipping,1,0,-1.0,Persuadable,0,9.6,850.0
SH01038,Indonesia,SG Hub,28-32,Female,Activewear,Referral,2024-12,None,66,0,0,0.0,18.42,3,7,4,0.75,0.42,0.39,0.29,1,5.1,0,3.9,1.85,2.14,0.428,-0.095,Influencer Code,0,0,-1.0,Do-Not-Disturb,1,80.2,10.0
SH01039,Australia,AU Hub,18-22,Male,Activewear,Paid Social,2024-05,Bronze,65,2,5,315.91,71.07,7,21,6,0.37,0.19,0.61,0.15,0,5.3,0,7.1,6.35,4.26,0.249,0.231,Free Shipping,0,0,-1.0,Lost Cause,0,39.1,838.45
SH01040,Malaysia,SG Hub,18-22,Female,Formal,Paid Social,2024-08,None,33,0,2,35.78,21.82,1,10,8,0.6,0.35,0.56,0.24,1,4.5,0,2.75,1.0,2.09,0.268,0.061,Style Drop,1,2,3.49,Lost Cause,0,48.6,74.69
SH01041,Indonesia,SG Hub,28-32,Male,Activewear,Influencer,2024-07,Bronze,18,3,7,140.08,26.33,3,16,3,0.8,0.41,0.41,0.23,0,5.4,0,3.83,2.23,2.42,0.322,0.022,Influencer Code,1,2,2.93,Sure-Thing,0,19.7,415.97
SH01042,UAE,Dubai Hub,28-32,Female,Activewear,Mega-Sale Event,2024-12,Bronze,28,2,5,357.81,82.16,10,16,4,0.43,0.24,0.52,0.23,1,3.9,1,4.59,6.92,7.56,0.232,0.121,Free Shipping,1,1,4.05,Persuadable,0,30.4,850.0
SH01043,Malaysia,SG Hub,18-22,Male,K-Fashion,Paid Social,2024-05,None,36,0,1,13.23,16.02,3,12,7,0.58,0.25,0.51,0.27,1,4.1,0,2.39,1.0,1.73,0.32,0.078,None,0,0,-1.0,Lost Cause,1,56.5,20.6
SH01044,Vietnam,VN Hub,23-27,Female,K-Fashion,Paid Social,2024-03,None,40,0,2,38.46,23.71,3,13,8,0.63,0.4,0.38,0.38,0,4.5,1,2.74,1.57,3.6,0.334,0.02,Style Drop,0,0,-1.0,Do-Not-Disturb,1,63.4,67.41
SH01045,UAE,Dubai Hub,23-27,Female,Casual,Influencer,2024-05,Bronze,23,2,3,194.16,77.79,7,20,2,0.56,0.3,0.39,0.21,0,3.7,0,4.46,5.8,6.53,0.216,0.158,Style Drop,1,3,5.0,Lost Cause,0,35.5,522.98
SH01046,Thailand,VN Hub,28-32,Female,Formal,Mega-Sale Event,2024-08,None,180,2,3,104.44,42.61,6,19,3,0.61,0.39,0.51,0.24,1,4.8,0,3.04,3.42,4.09,0.248,0.107,Voucher,0,0,-1.0,Do-Not-Disturb,1,95.1,141.28
SH01047,Vietnam,VN Hub,23-27,Non-binary,K-Fashion,Paid Social,2024-12,None,74,1,3,35.37,14.38,2,17,9,0.6,0.32,0.46,0.22,0,4.2,0,3.64,1.96,1.27,0.478,-0.069,Voucher,0,0,-1.0,Lost Cause,1,64.3,63.2
SH01048,Vietnam,VN Hub,23-27,Female,Casual,Organic,2024-10,None,17,1,3,39.78,16.47,5,10,5,0.65,0.35,0.43,0.27,1,4.0,0,3.14,2.33,1.78,0.44,-0.02,Influencer Code,0,0,-1.0,Lost Cause,0,36.0,95.17
SH01049,Malaysia,SG Hub,23-27,Female,Casual,Influencer,2024-01,Bronze,15,1,4,146.03,43.88,6,16,3,0.56,0.25,0.46,0.26,0,3.2,0,3.79,3.1,4.56,0.261,0.18,Free Shipping,0,0,-1.0,Lost Cause,0,27.2,417.82
SH01050,Singapore,SG Hub,23-27,Female,K-Fashion,Referral,2024-07,None,34,0,2,128.22,72.85,4,14,8,0.4,0.26,0.38,0.2,0,3.0,0,3.93,6.09,5.83,0.218,0.112,Influencer Code,1,0,-1.0,Lost Cause,0,42.4,324.08
SH01051,Australia,AU Hub,23-27,Female,Streetwear,Influencer,2024-02,Bronze,80,2,3,189.54,72.04,6,16,12,0.41,0.18,0.49,0.26,1,6.1,1,7.24,6.04,7.49,0.288,0.19,Style Drop,1,0,-1.0,Lost Cause,1,69.6,379.2
SH01052,Singapore,SG Hub,28-32,Male,Formal,Influencer,2024-05,Bronze,13,1,4,196.33,56.94,4,20,6,0.46,0.23,0.45,0.18,1,2.9,0,3.33,4.75,4.1,0.214,0.187,Free Shipping,0,0,-1.0,Lost Cause,0,22.9,583.62
SH01053,Thailand,VN Hub,23-27,Female,Casual,Mega-Sale Event,2024-12,None,86,2,3,83.1,34.93,4,14,9,0.69,0.38,0.47,0.32,1,6.1,1,3.31,2.99,4.47,0.308,0.022,Free Shipping,0,0,-1.0,Do-Not-Disturb,1,79.3,137.21
SH01054,Malaysia,SG Hub,18-22,Female,K-Fashion,Mega-Sale Event,2024-12,None,59,1,2,27.16,16.38,2,21,0,0.57,0.32,0.51,0.27,1,4.4,1,3.11,1.46,1.77,0.387,0.008,Free Shipping,1,0,-1.0,Lost Cause,1,69.2,42.77
SH01055,Malaysia,SG Hub,18-22,Female,Formal,Influencer,2024-02,Bronze,88,3,7,113.32,20.11,4,16,14,0.65,0.27,0.47,0.26,1,4.7,0,2.42,2.45,2.09,0.346,0.135,Voucher,1,0,-1.0,Lost Cause,0,49.8,267.22
SH01056,Thailand,VN Hub,28-32,Female,Streetwear,Paid Social,2024-02,None,91,2,3,66.27,27.75,4,16,7,0.68,0.36,0.45,0.25,1,5.2,0,3.03,2.77,2.78,0.309,0.088,Influencer Code,0,0,-1.0,Do-Not-Disturb,1,74.8,113.44
SH01057,Indonesia,SG Hub,28-32,Non-binary,Formal,Organic,2024-09,None,78,1,1,27.77,36.4,2,9,4,0.79,0.47,0.33,0.42,1,6.1,2,3.34,2.38,6.12,0.325,-0.021,Influencer Code,0,0,-1.0,Do-Not-Disturb,1,89.7,26.07
SH01058,Indonesia,SG Hub,18-22,Female,Streetwear,Mega-Sale Event,2024-05,Bronze,54,2,5,84.09,20.51,4,11,2,0.6,0.31,0.48,0.21,0,4.8,1,3.71,2.04,1.72,0.364,0.048,Free Shipping,0,0,-1.0,Lost Cause,0,48.5,196.36
SH01059,Singapore,SG Hub,18-22,Male,Casual,Paid Social,2024-06,Bronze,101,2,3,167.51,62.81,3,14,7,0.37,0.19,0.54,0.21,0,1.9,0,4.03,5.47,5.28,0.235,0.236,Influencer Code,0,0,-1.0,Lost Cause,1,71.2,328.13
SH01060,Singapore,SG Hub,23-27,Female,Streetwear,Paid Social,2024-11,Bronze,50,1,5,328.7,71.07,8,16,6,0.25,0.15,0.6,0.12,0,3.0,0,3.51,5.84,3.41,0.18,0.26,Influencer Code,0,0,-1.0,Lost Cause,0,28.0,850.0
SH01061,Malaysia,SG Hub,18-22,Female,K-Fashion,Organic,2024-12,None,49,0,0,0.0,51.86,3,11,11,0.55,0.3,0.57,0.33,0,4.3,0,3.33,4.71,6.85,0.287,0.105,Influencer Code,0,0,-1.0,Lost Cause,1,69.3,10.0
SH01062,Indonesia,SG Hub,28-32,Female,Formal,Organic,2024-11,None,48,1,3,45.08,19.39,1,8,10,0.75,0.36,0.33,0.33,1,5.3,1,3.41,1.65,2.56,0.393,-0.04,Voucher,0,0,-1.0,Do-Not-Disturb,1,64.1,82.68
SH01063,Indonesia,SG Hub,23-27,Non-binary,K-Fashion,Mega-Sale Event,2024-10,None,79,2,4,71.99,23.87,2,17,7,0.82,0.45,0.38,0.27,0,5.3,0,2.07,2.01,2.58,0.279,0.048,Influencer Code,1,0,-1.0,Do-Not-Disturb,1,68.0,131.1
SH01064,Thailand,VN Hub,18-22,Female,K-Fashion,Paid Social,2024-12,Bronze,30,2,4,139.27,44.58,3,14,11,0.73,0.45,0.38,0.31,1,5.5,0,3.06,3.63,5.53,0.274,0.034,Influencer Code,1,0,-1.0,Lost Cause,0,39.9,352.73
SH01065,Malaysia,SG Hub,33-38,Female,Streetwear,Influencer,2024-09,Bronze,180,3,9,165.95,22.82,4,18,5,0.64,0.3,0.45,0.27,1,4.2,0,3.64,1.0,2.46,0.311,0.009,Voucher,0,0,-1.0,Do-Not-Disturb,1,82.3,282.16
SH01066,Indonesia,SG Hub,18-22,Female,Activewear,Mega-Sale Event,2024-11,None,86,0,1,25.36,32.22,1,13,5,0.71,0.37,0.42,0.25,1,5.6,0,2.66,2.54,3.22,0.261,0.027,Influencer Code,0,0,-1.0,Do-Not-Disturb,1,82.0,30.32
SH01067,Indonesia,SG Hub,23-27,Female,Activewear,Mega-Sale Event,2024-07,None,23,1,4,48.56,15.85,1,11,2,0.78,0.36,0.39,0.33,1,4.7,0,3.56,1.0,2.09,0.42,-0.045,Style Drop,1,2,2.79,Lost Cause,0,38.0,116.79
SH01068,Vietnam,VN Hub,18-22,Non-binary,Accessories,Mega-Sale Event,2024-01,Bronze,70,2,5,114.7,28.82,3,18,4,0.68,0.42,0.48,0.29,1,4.0,3,3.69,1.71,3.34,0.303,-0.02,Voucher,0,0,-1.0,Do-Not-Disturb,1,74.1,206.06
SH01069,Singapore,SG Hub,18-22,Female,Streetwear,Influencer,2024-10,Silver,68,3,10,514.11,60.06,4,14,9,0.48,0.26,0.42,0.23,0,4.0,0,3.42,5.52,5.53,0.241,0.182,Influencer Code,1,2,5.0,Persuadable,0,9.7,850.0
SH01070,Indonesia,SG Hub,18-22,Female,Streetwear,Influencer,2024-12,None,23,1,4,47.71,16.34,3,5,8,0.9,0.45,0.32,0.32,1,5.3,0,3.5,1.56,2.09,0.438,-0.075,None,0,0,-1.0,Lost Cause,0,41.3,107.64
SH01071,Australia,AU Hub,18-22,Female,K-Fashion,Organic,2024-04,Silver,31,3,6,381.7,70.14,4,19,6,0.31,0.18,0.47,0.2,0,5.5,0,6.55,5.6,5.61,0.253,0.149,Style Drop,0,0,-1.0,Sure-Thing,0,9.3,850.0
SH01072,Vietnam,VN Hub,18-22,Female,Casual,Influencer,2024-06,None,32,1,2,44.83,30.21,4,15,5,0.86,0.41,0.37,0.33,1,4.2,0,3.71,2.13,3.99,0.325,0.0,Free Shipping,0,0,-1.0,Do-Not-Disturb,1,57.6,86.26
SH01073,UAE,Dubai Hub,18-22,Female,Accessories,Referral,2024-07,Bronze,17,1,4,323.87,92.96,6,20,4,0.43,0.18,0.43,0.21,0,3.8,0,4.46,7.58,7.81,0.214,0.227,Influencer Code,1,1,5.0,Persuadable,0,24.3,850.0
SH01074,Australia,AU Hub,23-27,Female,Casual,Paid Social,2024-08,None,18,0,2,140.99,76.96,5,14,5,0.28,0.08,0.53,0.14,0,5.4,0,7.22,6.65,4.31,0.236,0.269,None,0,0,-1.0,Lost Cause,0,29.9,401.73
SH01075,Singapore,SG Hub,28-32,Female,Casual,Organic,2024-09,None,71,1,2,107.48,62.56,7,17,4,0.47,0.21,0.47,0.3,0,2.6,0,4.48,4.59,7.51,0.265,0.215,Influencer Code,1,0,-1.0,Lost Cause,1,66.4,217.88
SH01076,Vietnam,VN Hub,23-27,Female,Streetwear,Mega-Sale Event,2024-05,None,47,1,2,50.09,32.57,2,11,7,0.77,0.49,0.37,0.24,1,3.7,1,3.23,2.6,3.13,0.275,-0.049,Voucher,1,1,0.59,Do-Not-Disturb,1,68.1,84.03
SH01077,Vietnam,VN Hub,23-27,Female,Accessories,Paid Social,2024-11,None,30,2,5,79.0,20.23,3,19,8,0.73,0.36,0.46,0.3,1,4.4,0,2.46,2.05,2.43,0.343,0.054,Voucher,1,1,1.11,Lost Cause,0,33.9,205.84
SH01078,Malaysia,SG Hub,23-27,Female,Casual,Influencer,2024-10,None,21,1,3,101.4,40.92,4,13,4,0.58,0.34,0.45,0.23,0,3.7,0,2.78,2.31,3.76,0.216,0.145,Style Drop,0,0,-1.0,Lost Cause,0,35.4,266.01
SH01079,Indonesia,SG Hub,28-32,Female,K-Fashion,Organic,2024-12,None,94,0,0,0.0,30.55,4,13,4,0.69,0.34,0.48,0.36,1,5.8,0,3.75,2.42,4.4,0.346,0.034,Free Shipping,1,0,-1.0,Do-Not-Disturb,1,88.1,10.0
SH01080,Thailand,VN Hub,28-32,Female,Streetwear,Paid Social,2024-07,Bronze,39,2,6,249.17,50.83,3,13,5,0.61,0.37,0.44,0.21,1,4.9,1,2.99,3.85,4.27,0.219,0.104,Voucher,1,3,5.0,Lost Cause,0,34.7,675.85
SH01081,Malaysia,SG Hub,18-22,Female,K-Fashion,Paid Social,2024-01,None,66,2,4,105.31,31.99,6,15,4,0.59,0.27,0.45,0.21,0,4.1,2,2.04,2.49,2.69,0.226,0.175,Free Shipping,1,5,5.0,Lost Cause,1,67.8,207.94
SH01082,Vietnam,VN Hub,18-22,Female,K-Fashion,Organic,2024-11,Bronze,38,1,5,97.97,24.34,1,11,3,0.65,0.36,0.41,0.21,1,4.1,0,2.87,1.7,2.04,0.272,0.065,Style Drop,1,2,3.53,Lost Cause,0,34.1,258.28
SH01083,Thailand,VN Hub,18-22,Female,K-Fashion,Referral,2024-01,None,27,0,1,28.78,36.15,2,13,4,0.68,0.38,0.43,0.29,0,4.7,0,2.56,2.96,4.19,0.269,0.095,Free Shipping,1,6,5.0,Lost Cause,1,54.9,52.33
SH01084,Australia,AU Hub,18-22,Female,Streetwear,Paid Social,2024-03,None,68,1,2,155.91,84.55,6,13,16,0.26,0.26,0.57,0.1,0,6.0,0,8.01,7.73,3.38,0.226,0.171,Style Drop,0,0,-1.0,Lost Cause,1,55.1,355.01
SH01085,Singapore,SG Hub,23-27,Female,Casual,Influencer,2024-04,Bronze,41,2,3,148.74,57.72,2,15,12,0.47,0.29,0.46,0.19,1,3.6,0,3.89,4.46,4.39,0.221,0.121,Influencer Code,0,0,-1.0,Lost Cause,0,42.0,377.81
SH01086,Singapore,SG Hub,23-27,Female,Streetwear,Paid Social,2024-03,Bronze,54,2,4,206.17,58.77,4,14,7,0.41,0.2,0.52,0.09,1,3.2,1,3.35,4.85,2.12,0.176,0.259,None,0,0,-1.0,Lost Cause,0,46.6,511.81
SH01087,Thailand,VN Hub,18-22,Female,Streetwear,Paid Social,2024-09,Bronze,101,2,6,155.31,34.33,3,23,5,0.82,0.49,0.35,0.32,0,5.3,1,2.95,3.74,4.39,0.323,0.027,Style Drop,0,0,-1.0,Do-Not-Disturb,1,74.7,280.24
SH01088,Indonesia,SG Hub,23-27,Female,Accessories,Influencer,2024-06,None,130,1,3,40.72,17.38,2,13,6,0.73,0.51,0.46,0.26,1,5.2,1,2.56,1.12,1.81,0.316,-0.067,Voucher,1,3,2.69,Do-Not-Disturb,1,91.1,44.24
SH01089,Australia,AU Hub,23-27,Female,Activewear,Influencer,2024-03,None,67,0,1,62.84,74.72,5,11,5,0.53,0.21,0.44,0.16,0,6.2,1,6.65,6.88,4.78,0.245,0.136,Influencer Code,1,1,4.71,Lost Cause,1,75.1,112.46
SH01090,Indonesia,SG Hub,18-22,Female,Casual,Organic,2024-01,None,59,1,4,76.34,24.72,3,14,8,0.76,0.38,0.45,0.34,0,5.0,0,4.01,1.98,3.36,0.378,-0.025,Voucher,1,0,-1.0,Do-Not-Disturb,1,57.3,160.09
SH01091,Australia,AU Hub,28-32,Female,Streetwear,Influencer,2024-03,Bronze,80,1,4,296.42,85.97,7,9,7,0.46,0.24,0.49,0.15,0,4.9,0,8.32,7.77,5.16,0.247,0.163,None,0,0,-1.0,Lost Cause,1,56.2,677.96
SH01092,Malaysia,SG Hub,18-22,Female,Formal,Referral,2024-09,None,25,1,3,75.28,30.16,4,9,9,0.56,0.29,0.54,0.28,1,4.1,1,3.46,2.79,3.38,0.319,0.055,Voucher,0,0,-1.0,Lost Cause,0,45.1,180.65
SH01093,Indonesia,SG Hub,33-38,Female,K-Fashion,Influencer,2024-10,None,34,1,4,29.68,10.0,4,13,2,0.86,0.46,0.33,0.28,1,5.6,0,3.45,1.0,1.12,0.557,-0.15,Influencer Code,0,0,-1.0,Lost Cause,0,45.3,57.24
SH01094,Vietnam,VN Hub,18-22,Female,Streetwear,Influencer,2024-04,None,74,2,3,29.0,12.67,3,13,6,0.79,0.37,0.33,0.38,1,4.8,0,2.68,1.0,1.93,0.443,-0.113,Style Drop,1,0,-1.0,Do-Not-Disturb,1,72.0,42.83
SH01095,Vietnam,VN Hub,28-32,Male,Formal,Mega-Sale Event,2024-01,None,33,1,2,27.02,17.92,8,11,3,0.82,0.52,0.36,0.34,1,4.7,0,2.42,1.12,2.44,0.334,-0.06,Voucher,1,0,-1.0,Do-Not-Disturb,1,57.2,41.32
